Operator	Schlagwort	Kompetenz	Ç?hnliche Kompetenz	Unterkompetenz	Referenzrahmen	Evidenzen	Kompetenzbereiche (KMK)	Metaoperator
reflektieren	SelbsteinschÇÏtzung	<p>Die LehramtsanwÇÏrten reflektieren nach drei Wochen ihren Lernfortschritt</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren		<p>Sie benennen Fortschritte und Probleme</p>		
planen	Management, Organisation	<p>Die LehramtsanwÇÏrter planen eine Unterrichtseinheit</p>		Wie ein(e) professionelle(r) Lehrer(in) agieren		"<ul><li><span style=""line-height:1231;"">Abgabe von einem Planungsdokument</span></li> <li><span style=""line-height:1231;"">VorfÇ¬hrstunde</span></li> </ul>"		
analysieren	Bedingungsanalyse	<p>Die LehramtsanwÇÏrter analysieren die Bedingungen an ihrer Schule hinsichtlich der Besonderheiten fÇ¬r ihre TÇÏtigkeit</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren		<ul><li>Abgabe eines Planungsdokumentes</li> <li>MÇ¬ndliche PrÇÏsentation der Schule</li> <li>AufschlÇ¬sselungen der Besonderheiten der Schule kategorisiert nach AnwendungsfÇÏllen</li> </ul>		
analysieren	Bedingungsanalyse	<p>Die LehramtsanwÇÏrter analysieren die Bedingungen bezÇ¬glich Informatikunterricht hinsichtlich der Ausstattung mit PCs und anderen fÇ¬r den Informatikunterricht relevanter Faktoren</p>	ja	Wie ein(e) professionelle(r) Lehrer(in) agieren		<ul><li>beschreiben Anzahl der PCs</li> <li></li> </ul>		
erarbeiten	SchriftstÇ¬ck, Wissenschaftliches Arbeiten	<p>Die LehramtsanwÇÏrter protokollieren eine Unterrichtsstunde Hierbei trennen sie Beobachtung und Interpretation Es wird vorher ein Beobachtungsziel definiert¶ÿ</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren				
planen	Management	<p>Die LehramtsanwÇÏrter planen eine Unterrichtssequenz</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren				
 beschreiben, erklÇÏren	Diagnostik	<p>Die LehramtsanwÇÏrter beschreiben den Lernstand der SuS und ihren eigenen Wissensstand</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren		<p>Die LehramtsanwÇÏrter bringen Beispiele, welchen Stand die SuS bzw sie selber haben Sie setzen beides in Beziehung zu einander</p>		
begrÇ¬nden	Didaktik	<p>Die LehramtsanwÇÏrter begrÇ¬nden ihre Unterrichtsplanung anhand der Lernstandsdiagnostik und dem gewÇ¬nschten Kompetenzerwerb</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren				
einordnen	Normative BegrÇ¬ndung, Rahmenlehrplan	<p>Die LehramtsanwÇÏrter ordnen die Unterrichtseinheit in den Rahmenlehrplan ein</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren		<ul><li>Korrekte Zitierweise des Rahmenlehrplans (RLP)</li> <li>Korrekte Zuordnung zu Inhalten des RLP</li> </ul>		
erklÇÏren	Strukturierung, Lernpsychologie	<p>Die LehramtsanwÇÏrter erklÇÏren den lernpsychologischen Aufbau ihres Unterrichts</p>	nein	Wie ein(e) professionelle(r) Lehrer(in) agieren		<ul><li>Lerntheorien werden mit der Unterrichtseinheit verknÇ¬pft</li> <li>Psychologisches Wissen wird demonstriert</li> <li></li> </ul>		
